,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Benton,Homer-Monroe-Jackson-Garrison,0,0.15,0.0,0.075,0,0.0,0.225,0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Iowa-Leroy-Luzerne-Blairstown,0,0.375,0.0,0.375,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benton,Kane-Keystone,0,0.225,0.0,0.0,0,0.0,0.0,0,0.225,0.0,0.0,0.0,0.0,0.0
Benton,Polk-Urbana,0,0.45,0.0,0.525,0,0.0,0.225,0,0.3,0.0,0.0,0.0,0.0,0.0
Benton,Vinton 1,0,0.375,0.0,0.225,0,0.0,0.0,0,0.15,0.0,0.15,0.0,0.0,0.0
Benton,Vinton 2,0,0.075,0.0,0.15,0,0.0,0.15,0,0.15,0.0,0.075,0.0,0.0,0.0
Benton,Vinton 3,0,0.15,0.0,0.3,0,0.0,0.15,0,0.225,0.0,0.0,0.0,0.0,0.0
Benton,Vinton 4,0,0.0,0.0,0.375,0,0.0,0.15,0,0.225,0.0,0.0,0.0,0.0,0.0
Benton,Walford,0,0.15,0.0,0.15,0,0.0,0.225,0,0.225,0.0,0.0,0.0,0.0,0.0
Black Hawk,Barclay Lester Dunkerton,0,0.202,0.0,0.404,0,0.0,0.0,0,0.202,0.202,0.0,0.0,0.0,0.0
Black Hawk,Bennington,0,0.0,0.0,0.202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Black Hawk,Big Creek La Porte,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.0,0.0,0.0,0.0
Black Hawk,Black Hawk Hudson Lincoln,0,0.606,0.0,0.606,0,0.0,0.404,0,0.404,0.0,0.0,0.0,0.0,0.0
Black Hawk,CF W1 P1,0,0.202,0.0,0.404,0,0.0,0.404,0,0.606,0.0,0.0,0.0,0.0,0.0
Black Hawk,CF W1 P2,0,0.0,0.0,0.606,0,0.0,0.606,0,1.01,0.0,0.808,0.0,0.0,0.0
Black Hawk,CF W1 P3,0,0.0,0.0,0.808,0,0.0,0.0,0,1.414,0.0,0.808,0.0,0.0,0.0
Black Hawk,CF W2 P1,0,0.0,0.0,0.202,0,0.0,0.0,0,0.404,0.0,0.202,0.0,0.0,0.0
Black Hawk,CF W2 P2 & CF Twp,0,0.0,0.0,0.808,0,0.0,0.606,0,1.01,0.0,0.404,0.0,0.0,0.0
Black Hawk,CF W2 P3,0,0.606,0.0,1.01,0,0.0,1.01,0,0.606,0.0,0.606,0.0,0.0,0.0
