County,Precinct,Precinct Short Name,County Delegates,Precinct SDE (IDP)
Boone,Boone 2nd Ward,BN2,10,1.9
Boone,Boone 3rd Ward,BN3,10,1.9
Boone,Boone 4th Ward,BN4,12,2.28
Boone,Boone 5th Ward,BN5,10,1.9
Boone,Madrid 1st Ward,MD1,4,0.76
Boone,Madrid 2nd Ward,MD2,4,0.76
Boone,Madrid 3rd Ward,MD3,3,0.5700000000000001
Boone,Ogden,OG,7,1.33
Boone,Rural Precinct 1,RP1,5,0.95
Boone,Rural Precinct 2,RP2,7,1.33
Boone,Rural Precinct 3,RP3,3,0.5700000000000001
Boone,Rural Precinct 4,RP4,7,1.33
Boone,Rural Precinct 5,RP5,3,0.5700000000000001
Boone,Rural Precinct 6,RP6,6,1.14
Bremer,CITY OF DENVER/JEFFERSON TWP,DV,9,2.04
Bremer,CITY OF FREDERIKA- FREDERIKA &amp; LEROY TWP,FD,1,0.22666666666666666
Bremer,CITY OF JANESVILLE/JACKSON TWP,JV,5,1.1333333333333333
Bremer,LAFAYETTE TWP/WARREN TWPS,LA,4,0.9066666666666666
Bremer,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,PL,3,0.6799999999999999
Bremer,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,RD,4,0.9066666666666666
Bremer,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,SU,6,1.36
Bremer,CITY OF TRIPOLI/FREMONT,TR,5,1.1333333333333333
Bremer,WAVERLY WARD I/E WASHINGTON TWP,WL1,9,2.04
Bremer,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,WL2,7,1.586666666666667
Bremer,WAVERLY WARD III,WL3,5,1.1333333333333333
Bremer,WAVERLY WARD IV,WL4,8,1.8133333333333328
Bremer,WAVERLY WARD V/W WASHINGTON TWP,WL5,9,2.04
Buchanan,Aurora,AR,5,0.6842105263157895
Buchanan,Brandon,BD,4,0.5473684210526316
Buchanan,Fairbank,FB,5,0.6842105263157895
Buchanan,Hazleton,HT,4,0.5473684210526316
Buchanan,Independence 1st Ward,I1,12,1.642105263157895
Buchanan,Independence 2nd Ward,I2,6,0.8210526315789475
Buchanan,Independence 3rd Ward,I3,9,1.2315789473684209
Buchanan,Independence 4th Ward,I4,6,0.8210526315789475
Buchanan,Independence 5th Ward,I5,6,0.8210526315789475
Buchanan,Jesup,JS,11,1.5052631578947369
Buchanan,Middlefield-Newton,MN,3,0.41052631578947374
Buchanan,Perry-Westburg,PW,6,0.8210526315789475
Buchanan,Quasqueton,QT,6,0.8210526315789475
Buchanan,Rowley,RW,5,0.6842105263157895
Buchanan,Winthrop,WN,7,0.9578947368421054
Buena Vista,STORM LAKE 01,1,7,1.4
Buena Vista,STORM LAKE 02,2,4,0.8
Buena Vista,STORM LAKE 03,3,7,1.4
Buena Vista,STORM LAKE 04,4,8,1.6
Buena Vista,ALBERT CITY FAIRFIELD COON,ACFC,2,0.4
Buena Vista,ALTA NOKOMIS ELK,ALNE,5,1.0
Buena Vista,LAKESIDE HAYES MAPLE VALLEY,LKHM,3,0.6000000000000001
Buena Vista,NEWELL NEWELL PROVIDENCE,NENP,2,0.4
Buena Vista,SRL;LGB;RELS;MAP,S-M-L-R,5,1.0
Buena Vista,TRUESDALE WASHINGTON GRANT,TRWG,2,0.4
Butler,1-GR,1-GR,10,1.1666666666666667
Butler,2-CL,2-CL,11,1.2833333333333334
Butler,3-DU,3-DU,4,0.4666666666666667
Butler,4-AL,4-AL,4,0.4666666666666667
Butler,5-AP,5-AP,5,0.5833333333333334
Butler,6-SR,6-SR,11,1.2833333333333334
