,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Black Hawk,WL 3-1,0,19,0,14,0,0,2,0,23,6,17,5,0,0,0,20,0,21,0,0,0,0,24.0,0,21.0,0,0,0
Black Hawk,WL 3-2,0,31,0,19,0,0,2,0,22,0,16,0,0,0,0,31,0,19,0,0,0,0,22.0,0,16.0,0,0,0
Black Hawk,WL 3-3,0,4,0,2,0,0,3,0,10,7,10,7,0,3,0,0,0,0,0,0,0,0,10.0,10,11.0,8,0,0
Black Hawk,WL 3-4,0,7,0,5,0,0,0,0,19,3,7,1,0,0,0,14,0,0,0,0,0,0,21.0,0,8.0,0,0,0
Black Hawk,WL 3-5,0,21,0,19,0,0,0,0,59,2,19,0,0,1,0,23,0,19,0,0,0,0,59.0,0,19.0,0,0,0
Black Hawk,WL 3-6,0,4,0,9,0,2,5,0,32,1,13,3,0,1,0,0,0,13,0,0,1,0,37.0,1,18.0,0,0,0
Black Hawk,WL 4-1,0,36,0,6,0,0,2,0,11,0,12,8,0,0,0,37,0,0,0,0,0,0,13.0,0,15.0,0,0,0
Black Hawk,WL 4-2,0,19,0,0,0,0,0,0,15,0,11,0,0,0,0,20,0,0,0,0,0,0,17.0,0,17.0,0,0,0
Black Hawk,WL 4-3,0,10,0,2,0,0,0,0,10,1,5,7,0,0,0,11,0,0,0,0,0,0,11.0,0,6.0,7,0,0
Black Hawk,WL 4-4,0,17,0,5,0,0,2,0,34,2,0,0,0,0,0,24,0,0,0,0,0,0,34.0,0,0.0,0,0,0
Black Hawk,WL 4-5,0,31,0,6,0,0,4,0,28,7,12,3,0,0,0,39,0,0,0,0,0,0,32.0,0,19.0,0,0,0
Black Hawk,WL 4-6,0,5,0,1,0,0,0,0,14,3,8,2,0,1,0,5,0,0,0,0,0,0,14.0,6,9.0,0,0,0
Black Hawk,WL 5-1,0,0,0,2,0,0,5,0,11,2,7,3,0,0,0,0,0,1,0,0,6,0,11.0,0,7.0,5,0,0
Black Hawk,WL 5-2,0,10,0,10,0,1,2,0,33,4,19,6,0,0,0,14,0,18,0,0,0,0,34.0,0,19.0,0,0,0
Black Hawk,WL 5-3,0,15,0,17,0,0,1,0,52,4,9,0,0,0,0,17,0,19,0,0,1,0,56.0,0,5.0,0,0,0
Black Hawk,WL 5-4,0,20,0,27,0,0,16,1,29,4,18,4,0,0,0,24,0,36,0,0,0,0,36.0,0,19.0,0,0,0
Black Hawk,WL 5-5,0,32,0,48,0,1,49,0,33,9,27,0,0,1,0,32,0,49,0,0,52,0,35.0,0,31.0,0,0,1
Black Hawk,WL 5-6,0,19,0,31,0,1,18,0,33,1,14,9,0,0,0,20,0,33,0,0,24,0,41.0,0,0.0,0,0,0
Black Hawk,Washington Janesville,0,6,0,6,0,0,0,0,6,3,4,0,0,0,0,0,0,14,0,0,0,0,12.0,0,0.0,0,0,0
Boone,Boone 1st Ward,0,8,0,22,0,0,1,0,41,9,20,8,0,0,0,0,0,39,0,0,0,0,41.0,0,25.0,0,0,0
Boone,Boone 2nd Ward,0,24,0,34,0,0,20,0,21,0,23,8,0,0,0,25,0,38,0,0,20,0,22.0,0,24.0,1,0,0
Boone,Boone 3rd Ward,0,16,0,44,0,0,20,0,38,0,24,19,0,4,0,0,2,54,0,0,25,0,44.0,0,29.0,11,0,0
Boone,Boone 4th Ward,0,22,0,29,0,0,11,0,41,2,25,8,0,1,0,27,0,36,0,0,0,0,47.0,0,31.0,0,0,0
Boone,Boone 5th Ward,0,1,0,22,0,0,10,0,22,1,13,3,0,0,0,0,0,23,0,0,11,0,24.0,0,14.0,0,0,0
Boone,Madrid 1st Ward,0,2,0,8,0,0,1,0,16,0,8,6,0,0,0,2,0,10,0,0,0,0,20.0,0,9.0,0,0,0
Boone,Madrid 2nd Ward,0,4,0,17,0,0,6,0,14,0,3,0,0,1,0,0,0,17,0,0,11,0,17.0,0,0.0,0,0,0
Boone,Madrid 3rd Ward,2,2,0,9,0,0,1,0,9,3,10,3,0,0,0,0,0,15,0,0,0,0,10.0,0,12.0,0,0,2
Boone,Ogden,0,15,0,36,0,0,8,0,19,0,8,2,0,0,0,20,0,45,0,0,0,0,23.0,0,0.0,0,0,0
Boone,Rural Precinct 1,0,10,1,22,0,0,16,0,20,0,22,4,0,0,0,3,0,25,0,0,20,0,21.0,0,24.0,2,0,0
Boone,Rural Precinct 2,0,0,0,36,0,0,26,0,18,18,19,2,0,0,0,0,0,37,0,0,26,0,19.0,18,19.0,0,0,0
Boone,Rural Precinct 3,1,12,0,20,0,0,4,0,5,0,9,0,0,0,0,12,0,23,0,0,0,0,0.0,0,16.0,0,0,0
Boone,Rural Precinct 4,0,9,0,26,0,0,23,0,20,5,26,6,0,0,0,0,0,34,0,0,25,0,25.0,0,27.0,0,0,4
Boone,Rural Precinct 5,0,5,0,7,0,0,12,0,3,0,7,0,0,0,0,0,0,9,0,0,13,0,0.0,0,9.0,0,0,0
Boone,Rural Precinct 6,0,18,0,31,0,0,19,0,18,0,18,10,0,0,0,18,0,31,0,0,21,0,26.0,0,18.0,0,0,0
Bremer,CITY OF DENVER/JEFFERSON TWP,0,24,0,37,0,0,28,0,7,5,17,5,0,0,0,25,0,39,0,0,30,0,0.0,0,22.0,0,0,7
Bremer,CITY OF FREDERIKA- FREDERIKA &amp; LEROY TWP,0,5,0,6,0,0,0,0,0,2,3,0,0,0,0,5,0,6,0,0,0,0,0.0,2,3.0,0,0,0
Bremer,CITY OF JANESVILLE/JACKSON TWP,0,11,0,16,0,0,11,0,7,3,15,1,0,0,0,12,0,19,0,0,13,0,0.0,0,19.0,1,0,0
Bremer,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,0,6,0,6,0,0,4,0,2,6,2,4,0,4,0,10,0,11,0,0,0,0,0.0,6,0.0,0,0,7
Bremer,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,0,7,0,11,0,0,7,0,6,0,6,0,0,0,0,7,0,11,0,0,7,0,6.0,0,6.0,0,0,0
Bremer,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,0,19,0,15,0,0,8,0,13,0,8,2,0,1,0,21,0,18,0,0,0,0,13.0,0,14.0,0,0,0
Bremer,CITY OF TRIPOLI/FREMONT,0,17,0,9,0,0,0,0,13,2,10,4,0,0,0,19,0,9,0,0,0,0,17.0,0,10.0,0,0,0
Bremer,LAFAYETTE TWP/WARREN TWPS,0,7,0,15,0,0,8,0,0,0,6,0,0,0,0,7,0,15,0,0,8,0,0.0,0,6.0,0,0,0
Bremer,WAVERLY WARD I/E WASHINGTON TWP,0,26,0,50,0,0,25,0,29,2,31,0,0,1,0,26,0,50,0,0,32,0,29.0,0,31.0,0,0,0
Bremer,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,0,16,0,44,0,0,33,0,23,0,26,6,0,0,0,0,0,49,0,0,38,0,25.0,0,31.0,0,0,0
Bremer,WAVERLY WARD III,0,12,0,57,0,1,14,0,43,0,42,7,0,0,0,0,0,73,0,0,0,0,55.0,0,46.0,0,2,0
Bremer,WAVERLY WARD IV,0,29,0,48,0,0,24,0,24,0,27,10,0,1,0,31,0,51,0,0,27,0,25.0,0,27.0,0,0,0
Bremer,WAVERLY WARD V/W WASHINGTON TWP,0,31,0,55,0,0,34,0,22,4,54,8,0,2,0,32,0,61,0,0,40,0,0.0,0,73.0,0,0,4
Buchanan,Aurora,0,20,0,8,0,0,3,0,6,0,1,0,0,0,0,22,0,10,0,0,0,0,6.0,0,0.0,0,0,0
Buchanan,Brandon,0,8,0,5,0,0,5,0,6,2,9,0,0,1,0,9,0,0,0,0,10,0,7.0,0,9.0,0,0,0
Buchanan,Fairbank,0,17,0,8,0,0,0,0,6,0,7,1,0,0,0,17,0,8,0,0,0,0,6.0,0,7.0,0,0,0
Buchanan,Hazleton,0,8,0,5,0,0,11,0,5,0,0,0,0,3,0,9,0,5,0,0,13,0,5.0,0,0.0,0,0,0
Buchanan,Independence 1st Ward,0,28,0,26,0,0,18,0,7,2,4,6,0,0,0,30,0,31,0,0,20,0,0.0,0,0.0,0,0,0
Buchanan,Independence 2nd Ward,0,19,0,12,0,0,10,0,11,0,0,0,0,3,0,22,0,0,0,0,10,0,11.0,0,0.0,0,0,0
Buchanan,Independence 3rd Ward,0,23,0,13,0,0,9,0,10,0,16,2,0,3,0,25,0,15,0,0,0,0,0.0,0,18.0,0,0,18
Buchanan,Independence 4th Ward,0,17,0,5,0,0,8,0,9,0,6,3,0,0,0,17,0,0,0,0,9,0,9.0,0,0.0,0,1,12
Buchanan,Independence 5th Ward,0,17,0,14,0,0,0,0,10,5,4,0,0,0,0,17,0,14,0,0,0,0,11.0,9,0.0,0,0,0
Buchanan,Jesup,0,7,0,33,0,0,14,0,14,0,2,17,0,0,0,5,0,33,0,0,17,0,14.0,0,1.0,17,0,0
Buchanan,Middlefield-Newton,0,7,0,6,0,0,6,0,0,0,2,2,0,0,0,7,0,9,0,0,6,0,0.0,0,0.0,0,0,0
Buchanan,Perry-Westburg,0,8,0,8,0,0,5,0,4,0,5,1,0,0,0,9,0,8,0,0,5,0,0.0,0,5.0,0,0,0
Buchanan,Quasqueton,0,8,0,5,0,1,11,0,9,0,8,12,0,2,0,10,0,0,0,0,15,0,9.0,0,9.0,13,0,0
Buchanan,Rowley,0,8,0,12,0,0,6,0,6,0,4,0,0,0,0,8,0,12,0,0,6,0,10.0,0,0.0,0,0,0
Buchanan,Winthrop,0,18,0,29,0,0,10,0,5,1,1,0,0,0,0,19,0,31,0,0,10,0,0.0,0,0.0,0,0,4
Buena Vista,ALBERT CITY FAIRFIELD COON,0,5,0,2,0,0,3,0,8,0,3,3,0,0,0,6,0,0,0,0,7,0,9.0,0,0.0,0,0,0
Buena Vista,ALTA NOKOMIS ELK,0,20,0,10,0,0,0,0,16,0,9,15,0,0,0,20,0,9,0,0,0,0,18.0,0,7.0,15,0,0
Buena Vista,LAKESIDE HAYES MAPLE VALLEY,0,16,0,6,0,0,6,0,4,4,5,6,0,0,0,17,0,0,0,0,10,0,0.0,0,8.0,12,0,0
Buena Vista,NEWELL NEWELL PROVIDENCE,0,4,0,4,0,0,5,0,9,0,2,7,0,1,0,0,0,10,0,0,0,0,12.0,0,0.0,0,0,0
Buena Vista,SRL;LGB;RELS;MAP,0,11,0,9,0,0,0,0,7,9,11,3,0,0,0,11,0,10,0,0,0,0,8.0,9,12.0,0,0,0
Buena Vista,STORM LAKE 01,0,1,0,11,0,0,0,0,13,0,7,7,0,0,0,0,0,11,0,0,0,0,13.0,0,7.0,7,0,0
Buena Vista,STORM LAKE 02,0,11,0,6,0,0,0,0,16,0,12,2,0,0,0,13,0,0,0,0,0,0,18.0,0,13.0,0,0,0
Buena Vista,STORM LAKE 03,0,19,0,23,0,0,14,0,10,0,14,5,0,1,0,19,0,24,0,0,14,0,14.0,0,14.0,0,0,0
Buena Vista,STORM LAKE 04,0,16,0,30,0,0,20,0,26,0,20,14,0,0,0,19,0,32,0,0,22,0,33.0,0,20.0,0,0,0
Buena Vista,TRUESDALE WASHINGTON GRANT,0,6,0,3,0,0,4,0,5,0,3,0,0,0,0,8,0,2,0,0,6,0,3.0,0,3.0,0,0,0
Butler,1-GR,0,15,0,19,0,0,23,0,15,0,14,0,0,0,0,15,0,19,0,0,23,0,15.0,0,14.0,0,0,0
