,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression
Wayne,Total,0,19,0,25,0,0,37,0,25,1,23,3,0,2,0,16,0,26,0,0,41,0,25.0,0,26.0,0,0,1
Webster,Total,5,232,1,381,0,3,124,0,208,49,135,36,1,5,0,277,0,482,0,0,86,0,234.0,10,104.0,4,0,8
Winnebago,Total,0,58,0,110,0,1,62,0,58,1,66,34,0,5,0,38,0,121,0,0,66,0,50.0,0,82.0,29,0,6
Winneshiek,Total,1,157,0,457,0,3,357,0,368,12,346,168,0,5,0,34,0,545,0,2,457,0,367.0,0,352.0,49,0,1
Woodbury,Total,1,694,1,580,0,3,312,0,969,65,465,167,1,12,0,765,0,685,0,0,211,0,1023.0,4,434.0,40,4,45
Worth,Total,0,37,2,55,0,0,57,0,45,14,39,28,0,1,0,39,0,55,0,0,77,0,46.0,0,35.0,23,0,1
Wright,Total,0,59,2,95,0,0,60,0,63,0,40,5,0,11,0,55,2,116,0,0,74,0,74.0,0,14.0,0,1,2
Out of State Satellite,Total,3,182,18,217,0,2,295,1,187,6,248,23,1,3,0,199,9,224,0,0,304,0,172.0,0,247.0,7,2,16
CD1 Satellite,Total,0,53,1,37,0,0,46,1,242,11,41,15,0,1,0,52,0,33,0,0,53,0,254.0,3,36.0,0,0,6
CD2 Satellite,Total,0,82,4,68,0,0,83,0,466,8,149,57,1,23,0,56,0,4,0,0,102,0,469.0,0,179.0,72,22,20
CD3 Satellite,Total,1,279,1,53,0,0,112,0,992,5,81,17,0,4,0,262,0,18,0,0,121,0,1023.0,1,82.0,2,0,8
CD4 Satellite,Total,0,13,1,12,0,0,10,0,91,2,2,6,0,2,0,8,1,7,0,0,10,0,94.0,3,1.0,4,0,1
