,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Des Moines,Total,0,5.04,0.0,9.72,0,0.0,1.44,0,6.48,0.0,3.6,0.72,0.0,0.0
Dickinson,Total,0,2.25,0.0,3.0,0,0.0,1.875,0,2.0,0.0,0.875,0.0,0.0,0.0
Dubuque,Total,0,16.533,0.0,21.5999,0,0.0,6.1334,0,16.7999,0.0,10.933,0.2667,0.0,0.0
Emmet,Total,0,0.6858,0.0,1.143,0,0.0,0.5715,0,0.8001,0.3429,0.4572,0.0,0.0,0.0
Fayette,Total,0,2.64,0.0,4.32,0,0.0,1.32,0,1.8,0.48,1.32,0.12,0.0,0.0
Floyd,Total,0,2.2221,0.0,2.3331,0,0.0,2.3331,0,1.5554,0.0,1.5554,0.0,0.0,0.0
Franklin,Total,0,1.0001,0.0,1.2778,0,0.0,0.889,0,1.2779,0.1111,0.3889,0.0556,0.0,0.0
Fremont,Total,0,0.675,0.0,0.825,0,0.0,0.6,0,0.75,0.0,0.15,0.0,0.0,0.0
Greene,Total,0,0.72,0.0,2.04,0,0.0,1.2,0,1.8,0.12,0.12,0.0,0.0,0.0
Grundy,Total,0,1.2,0.0,1.7,0,0.0,1.2,0,1.3,0.0,0.4,0.1,0.0,0.1
Guthrie,Total,0,0.6856,0.0,1.6286,0,0.0,1.5428,0,0.5142,0.0,1.1999,0.4286,0.0,0.0
Hamilton,Total,0,1.9,0.0,2.7,0,0.0,1.2,0,1.5,0.0,1.7,0.0,0.0,0.0
Hancock,Total,0,0.8,0.0,1.7,0,0.0,1.2,0,0.9,0.0,0.4,0.0,0.0,0.0
Hardin,Total,0,1.584,0.0,2.736,0,0.0,1.8,0,1.368,0.0,1.512,0.0,0.0,0.0
Harrison,Total,0,1.4,0.0,1.8666,0,0.0,0.9333,0,2.0532,0.0,0.84,0.0,0.0,0.0
Henry,Total,0,1.6667,0.0,2.8,0,0.0,0.7333,0,2.2667,0.0,1.2,1.3333,0.0,0.0
Howard,Total,0,1.0001,0.0,1.7145,0,0.0,0.7144,0,0.8573,0.1429,0.2858,0.2858,0.0,0.0
Humboldt,Total,0,1.2446,0.0,1.2446,0,0.0,0.8001,0,0.3556,0.0,0.3556,0.0,0.0,0.0
Ida,Total,0,0.9,0.0,1.2,0,0.0,0.45,0,0.45,0.0,0.0,0.0,0.0,0.0
Iowa,Total,0,2.0,0.0,2.6,0,0.0,0.4,0,2.4,0.0,2.6,0.0,0.0,0.0
Jackson,Total,0,3.0854,0.0,3.7713,0,0.0,1.8857,0,1.3712,0.1714,1.5427,0.1714,0.0,0.0
Jasper,Total,0,4.6,0.0,7.705,0,0.0,1.495,0,5.06,0.23,3.22,0.69,0.0,0.0
Jefferson,Total,0,0.6546,0.0,1.5274,0,0.0,0.4364,0,5.8908,0.0,3.2727,0.0,0.0,0.2182
Johnson,Total,0,5.67,0.0,33.615,0,0.0,17.415,0,52.245,0.0,53.055,0.0,0.0,0.0
Jones,Total,0,2.56,0.0,3.68,0,0.0,2.08,0,2.56,0.0,1.12,0.0,0.0,0.0
Keokuk,Total,0,0.5715,0.0,1.143,0,0.1143,0.4572,0,0.9144,0.0,0.6858,0.1143,0.0,0.0
Kossuth,Total,0,2.1335,0.0,3.2004,0,0.0,1.6002,0,0.6223,0.0889,0.3556,0.0,0.0,0.0
Lee,Total,0,5.32,0.0,7.56,0,0.0,0.98,0,4.34,0.0,2.24,0.56,0.0,0.0
Linn,Total,0,29.0082,0.0,46.59,0,0.0,19.7783,0,53.6236,0.0,39.5573,0.4395,0.0,0.0
Louisa,Total,0,1.0,0.0,0.7,0,0.0,0.4,0,1.2,0.0,1.0,0.7,0.0,0.0
Lucas,Total,0,1.2365,0.0,0.7273,0,0.0,0.5091,0,0.8726,0.1454,0.3636,0.1454,0.0,0.0
Lyon,Total,0,0.5,0.0,0.6,0,0.0,0.9,0,0.5,0.0,0.5,0.0,0.0,0.0
Madison,Total,0,1.68,0.0,2.88,0,0.0,1.44,0,1.2,0.0,1.8,0.0,0.0,0.0
Mahaska,Total,0,1.12,0.0,2.08,0,0.0,0.64,0,2.08,0.0,1.28,0.8,0.0,0.0
Marion,Total,0,2.16,0.0,7.56,0,0.0,2.7,0,3.42,0.0,1.8,0.36,0.0,0.0
Marshall,Total,0,5.12,0.0,6.72,0,0.0,1.12,0,8.16,0.16,2.4,0.0,0.0,0.32
Mills,Total,0,1.2446,0.0,2.3335,0,0.0,0.778,0,1.7113,0.0,0.9336,0.0,0.0,0.0
Mitchell,Total,0,1.05,0.0,1.425,0,0.0,2.025,0,0.6,0.0,0.75,0.15,0.0,0.0
Monona,Total,0,0.75,0.0,1.1,0,0.0,0.45,0,0.65,0.2,0.85,0.0,0.0,0.0
Monroe,Total,0,0.5539,0.0,0.9231,0,0.0,0.5539,0,0.5539,0.0462,0.3231,0.0,0.0,0.0
