,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
Pottawattamie,Council Bluff 08,0,14,0,27,0,1,30,0,0,36,0,0,38,7,0,0,0,37,0,0,34,0,0,38.0,0,8,38.0,0,,false
Pottawattamie,Council Bluff 09,0,21,0,19,0,0,29,0,0,17,0,1,17,8,0,24,0,21,0,0,31,0,0,18.0,0,1,17.0,0,,false
Pottawattamie,Council Bluff 10A,0,31,0,35,0,0,30,0,0,24,0,0,28,5,0,31,0,36,0,0,30,0,0,25.0,0,2,29.0,0,,false
Pottawattamie,Council Bluff 10B,0,29,0,38,0,0,22,0,0,14,0,2,18,3,0,31,0,39,0,0,24,0,0,0.0,0,0,27.0,0,,false
Pottawattamie,Council Bluff 11,0,22,1,42,0,1,18,0,1,51,0,1,32,17,0,0,0,54,0,0,0,0,0,55.0,0,0,44.0,28,,false
Pottawattamie,Council Bluff 12,0,21,24,0,0,0,16,0,0,26,2,0,27,3,0,28,0,28,0,0,0,0,0,30.0,0,0,33.0,0,,false
Pottawattamie,Council Bluff 13,0,13,0,14,0,0,6,0,0,25,0,0,13,13,0,14,0,16,0,0,0,0,0,25.0,0,0,16.0,13,,false
Pottawattamie,Council Bluff 14,0,5,0,10,0,0,0,0,0,20,0,0,9,5,0,0,0,16,0,0,0,0,0,22.0,0,0,11.0,0,,false
Pottawattamie,Council Bluff 15,0,5,0,6,0,0,0,0,0,13,1,2,7,6,0,6,0,6,0,0,0,0,0,14.0,0,1,7.0,6,,false
Pottawattamie,Council Bluff 16,0,10,0,11,0,0,0,0,0,21,0,0,15,5,0,10,0,11,0,0,0,0,0,23.0,0,0,17.0,0,,false
Pottawattamie,Council Bluff 17,0,11,0,12,0,0,11,0,0,34,1,0,15,3,0,19,0,17,0,0,0,0,0,34.0,0,0,17.0,0,,false
Pottawattamie,Council Bluff 18,0,5,0,18,0,0,4,0,0,23,2,2,16,10,0,0,0,27,0,0,0,0,0,25.0,0,9,19.0,0,,false
Pottawattamie,Council Bluff 19,0,6,0,25,0,0,8,0,0,12,0,0,6,0,0,0,0,28,0,0,12,0,0,16.0,0,0,1.0,0,,false
Pottawattamie,Council Bluff 20,0,7,0,18,0,0,8,0,0,14,7,0,13,15,0,0,0,23,0,0,0,0,0,16.0,0,0,14.0,16,,false
Pottawattamie,Council Bluff 21,0,8,0,8,0,0,0,0,0,12,0,0,15,8,0,8,0,8,0,0,0,0,0,12.0,0,0,15.0,8,,false
Pottawattamie,Crescent,0,34,0,25,0,0,21,0,0,15,7,0,14,6,0,34,0,32,0,0,25,0,0,23.0,0,0,7.0,2,,false
Pottawattamie,GLWCW,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0.0,0,0,5.0,0,,false
Pottawattamie,Garner,0,11,0,27,0,0,28,1,0,21,0,3,23,4,0,0,0,30,0,0,37,0,0,23.0,0,0,24.0,0,,false
Pottawattamie,Hancock,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,0,0,0.0,0,,false
Pottawattamie,Lewis 1,0,24,0,34,0,0,8,0,0,20,4,0,12,2,0,27,0,51,0,0,0,0,0,26.0,0,0,0.0,0,,false
Pottawattamie,Lewis 2,0,26,0,28,0,0,17,0,0,24,0,0,13,4,0,29,0,29,0,0,18,0,0,35.0,0,0,0.0,0,,false
Pottawattamie,Macedonia,0,2,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,2.0,0,1,1.0,0,,false
Pottawattamie,McClelland,0,6,0,5,0,0,7,1,0,0,0,0,4,0,0,7,0,8,0,0,7,1,0,0.0,0,0,0.0,0,,false
Pottawattamie,Minden,0,2,0,3,0,0,2,0,0,4,1,0,6,0,0,0,0,5,0,0,0,0,0,4.0,0,1,8.0,0,,false
Pottawattamie,Neola,0,13,0,5,0,0,13,0,0,7,0,0,19,0,0,13,0,0,0,0,16,0,0,0.0,0,0,24.0,0,,false
Pottawattamie,Oakland,0,12,0,19,0,0,15,0,0,16,0,0,8,1,0,12,0,19,0,0,17,0,0,18.0,0,0,0.0,0,,false
Pottawattamie,Treynor,0,6,0,13,0,0,7,0,0,2,0,0,8,0,0,6,0,13,0,0,7,0,0,0.0,0,0,10.0,0,,false
Pottawattamie,Underwood,0,25,0,18,0,1,17,0,0,17,4,0,17,3,0,28,0,21,0,0,18,0,0,17.0,0,0,17.0,0,,false
Pottawattamie,Walnut,0,0,0,10,0,0,8,0,0,1,8,0,0,0,0,0,0,10,0,0,8,0,0,1.0,8,0,0.0,0,,false
