,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Dallas,Total,0,11.6004,0.0,19.8864,0,0.0,7.0431,0,8.286,0.0,11.1861,0.0,0.0,0.0
Davis,Total,0,0.84,0.0,1.02,0,0.0,0.39,0,0.36,0.0,0.39,0.0,0.0,0.0
Decatur,Total,0,0.4706,0.0,1.2707,0,0.0,0.5648,0,0.9413,0.0,0.8,0.0,0.0,0.0
Delaware,Total,0,1.875,0.0,2.475,0,0.0,2.175,0,0.375,0.15,1.95,0.0,0.0,0.0
Des Moines,Total,0,5.04,0.0,9.0,0,0.0,1.08,0,6.12,0.0,3.24,0.72,0.0,0.0
Dickinson,Total,0,2.25,0.0,3.0,0,0.0,1.875,0,2.0,0.0,0.875,0.0,0.0,0.0
Dubuque,Total,0,15.733,0.0,20.2666,0,0.0,5.3334,0,15.4666,0.0,10.3997,0.2667,0.0,0.0
Emmet,Total,0,0.5715,0.0,1.143,0,0.0,0.5715,0,0.8001,0.3429,0.4572,0.0,0.0,0.0
Fayette,Total,0,2.64,0.0,4.32,0,0.0,1.32,0,1.8,0.48,1.32,0.12,0.0,0.0
Floyd,Total,0,1.8888,0.0,2.222,0,0.0,2.1109,0,1.5554,0.0,1.3332,0.0,0.0,0.0
Franklin,Total,0,1.0001,0.0,1.2778,0,0.0,0.889,0,1.2779,0.1111,0.3889,0.0556,0.0,0.0
Fremont,Total,0,0.675,0.0,0.825,0,0.0,0.6,0,0.75,0.0,0.15,0.0,0.0,0.0
Greene,Total,0,0.72,0.0,2.04,0,0.0,1.2,0,1.8,0.12,0.12,0.0,0.0,0.0
Grundy,Total,0,1.2,0.0,1.7,0,0.0,1.2,0,1.3,0.0,0.4,0.1,0.0,0.1
Guthrie,Total,0,0.5999,0.0,1.6286,0,0.0,1.4571,0,0.5142,0.0,1.1999,0.4286,0.0,0.0
Hamilton,Total,0,1.9,0.0,2.7,0,0.0,1.2,0,1.5,0.0,1.7,0.0,0.0,0.0
