,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,First,Final,First & Final,SDE,Final & SDE,Full,Any
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,0,10,1,7,0,0,8,0,0,0,10,0,0,2,0,10,0,8,0,0,10,0,0.0,0,10.0,0,0,0,0,0.2,0.0,0.1,0,0.0,0.2,0,0.0,0.0,0.2,0.0,0.0,0.0,False,True,False,False,False,False,True
Hamilton,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,0,6,0,5,0,0,2,0,3,0,12,0,0,1,0,8,0,6,0,0,0,0,0.0,0,13.0,0,0,0,0,0.2,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,True,False,False,True
Hancock,Precinct 01,0,10,0,11,0,0,17,0,8,0,1,5,0,0,0,11,0,12,0,0,19,0,10.0,0,0.0,0,0,0,0,0.1,0.0,0.2,0,0.0,0.2,0,0.1,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Hancock,Precinct 02,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0.0,0,3.0,0,0,0,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,False,False,False,True,False,False,True
Hancock,Precinct 03,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0.1,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Hancock,Precinct 05,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Hancock,Precinct 08,0,0,0,8,0,0,0,0,0,0,5,2,0,0,0,0,0,8,0,0,0,0,0.0,0,5.0,0,0,0,0,0.0,0.0,0.1,0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,False,False,False,True,False,False,True
Hancock,Precinct 10,0,0,0,4,0,0,0,0,1,0,1,0,2,0,0,0,0,4,0,0,0,0,2.0,0,2.0,0,0,0,0,0.0,0.0,0.1,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Henry,Mt. Pleasant Ward 4,0,3,1,19,0,0,0,0,12,0,5,8,0,0,0,0,0,24,0,0,0,0,12.0,0,0.0,9,0,0,0,0.0,0.0,0.4667,0,0.0,0.0,0,0.2,0.0,0.0,0.2,0.0,0.0,True,False,False,True,False,False,True
Henry,Northeast Precinct,0,3,1,19,0,0,0,0,12,0,5,8,0,0,0,3,0,24,0,0,0,0,12.0,0,0.0,9,0,0,0,0.0,0.0,0.4667,0,0.0,0.0,0,0.2,0.0,0.0,0.2,0.0,0.0,True,False,False,True,False,False,True
Humboldt,Humboldt-West Vernon,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Humboldt,North Lake-East Vernon,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
Humboldt,South Lake-North Norway,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Ida,City of Arthur,0,2,0,4,0,0,4,0,2,2,2,0,0,0,0,0,0,7,0,0,7,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Ida,City of Galva,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,2.0,0,1.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.15,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,False,True
Ida,Ida Grove Ward 1,0,2,0,8,0,0,1,0,1,0,0,0,0,1,0,4,0,8,0,0,0,0,0.0,0,0.0,0,0,1,0,0.15,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Ida,Ida Grove Ward 2,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0.15,0.0,0.15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Ida,Ida Grove Ward 3,0,7,0,3,0,0,3,0,2,0,0,0,0,0,0,7,0,5,0,0,3,0,0.0,0,0.0,0,0,0,0,0.15,0.0,0.15,0,0.0,0.15,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jackson,Jackson 05,0,9,0,6,0,0,4,0,0,0,1,0,0,0,0,9,0,7,0,0,4,0,0.0,0,0.0,0,0,0,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,True
Jackson,Jackson 06,0,12,0,16,0,0,8,0,5,0,6,0,0,0,0,12,0,16,0,0,8,0,11.0,0,0.0,0,0,0,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jackson,Jackson 12,0,3,0,5,0,0,4,0,6,0,0,0,0,0,0,3,0,5,0,0,4,0,6.0,0,0.0,0,0,0,0,0.1714,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jackson,Jackson 13,0,7,0,8,0,0,2,0,7,2,8,3,0,0,0,10,0,0,0,0,0,0,10.0,0,9.0,0,0,0,0,0.1714,0.0,0.0,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,False,False,False,True,False,False,True
Jackson,Jackson 14,0,8,0,11,0,0,2,0,16,0,10,0,0,0,0,9,0,12,0,0,0,0,16.0,0,10.0,0,0,0,0,0.1714,0.0,0.1714,0,0.0,0.0,0,0.1714,0.0,0.1714,0.0,0.0,0.0,False,False,False,True,False,False,True
Jefferson,Blackhawk-Polk-Packwood,0,5,1,2,0,0,0,0,15,3,7,0,0,0,0,4,0,0,0,0,0,0,18.0,0,9.0,0,2,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2182,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jefferson,Locust Grove-Batavia,0,6,0,2,0,0,0,0,9,0,0,0,0,0,0,6,0,2,0,0,0,0,9.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2182,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,CEDAR TOWNSHIP,1,5,0,12,0,0,15,0,20,0,12,0,0,0,0,3,0,12,0,0,22,0,28.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,CORALVILLE 01,0,26,0,67,0,1,37,0,208,0,150,35,0,5,0,0,0,100,0,0,0,0,224.0,0,169.0,0,0,36,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,CORALVILLE 03,0,34,0,47,0,0,33,0,48,4,45,17,0,0,0,35,0,50,0,0,43,0,50.0,0,46.0,0,0,4,0,0.405,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,CORALVILLE 04,0,26,0,51,0,1,18,0,109,10,76,16,2,0,0,0,0,66,0,0,0,0,115.0,0,102.0,0,0,0,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,CORALVILLE 05,0,8,0,46,0,0,29,0,138,3,83,17,0,2,0,0,0,67,0,0,0,0,140.0,0,99.0,0,0,0,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,FREMONT-LINCOLN (INCLUDES,0,8,0,22,0,0,18,0,38,7,18,2,0,0,0,0,0,25,0,0,22,0,38.0,0,24.0,0,0,4,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,GRAHAM TOWNSHIP,0,10,0,11,0,0,13,0,9,1,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,True
Johnson,HARDIN TOWNSHIP,0,6,0,12,0,0,13,0,10,0,14,0,0,0,0,0,0,0,0,0,30,0,0.0,0,25.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.405,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 03,1,10,0,62,0,0,13,0,196,0,106,59,0,0,0,0,0,0,0,0,0,0,213.0,0,130.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 05,1,29,1,110,0,2,13,0,291,0,209,98,0,0,0,0,0,125,0,0,0,0,313.0,0,232.0,0,0,0,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 09,0,52,0,57,0,0,50,1,147,13,119,21,0,4,0,0,0,79,0,0,0,0,160.0,0,140.0,0,0,0,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 10/ELSW,1,23,0,50,0,0,16,0,95,0,74,21,1,1,0,4,0,71,0,0,0,0,105.0,0,92.0,0,0,1,0,0.0,0.0,0.81,0,0.0,0.0,0,1.215,0.0,0.81,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 12/EAST LUCAS SE,2,24,0,45,0,0,16,0,139,4,103,11,0,0,0,0,0,57,0,0,0,0,146.0,0,126.0,0,0,0,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 17,2,56,0,88,0,5,97,0,272,9,291,40,0,0,0,0,0,0,0,0,143,0,295.0,0,304.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.81,0,2.025,0.0,2.025,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 18,0,23,0,87,0,1,99,1,279,2,293,49,0,3,0,0,0,26,0,0,155,0,313.0,0,331.0,3,0,0,0,0.0,0.0,0.0,0,0.0,0.81,0,2.025,0.0,2.025,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 19,0,9,0,45,0,2,5,0,224,0,101,52,0,5,0,0,0,0,0,0,0,0,236.0,0,120.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,IOWA CITY 20,0,19,0,79,0,3,6,0,274,8,160,66,0,2,0,0,0,95,0,0,0,0,300.0,0,176.0,0,0,0,0,0.0,0.0,0.81,0,0.0,0.0,0,1.62,0.0,1.215,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,JW/MN/SW,0,30,0,40,0,0,29,0,35,3,30,3,0,2,0,31,0,40,0,0,31,0,37.0,0,30.0,3,0,3,0,0.405,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,SCOTT TWP-WEST BRANCH,0,12,0,26,0,0,18,0,45,0,39,11,0,6,0,4,0,28,0,0,27,0,48.0,0,49.0,0,0,1,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,SHARON TOWNSHIP,0,3,0,7,0,2,17,0,10,0,17,0,0,0,0,3,0,7,0,2,17,0,10.0,0,17.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,UNIVERSITY HEIGHTS,2,34,0,50,0,0,46,0,74,1,94,11,0,0,0,0,0,60,0,0,61,0,79.0,0,96.0,0,0,0,0,0.0,0.0,0.405,0,0.0,0.405,0,0.405,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Johnson,WASHINGTON TOWNSHIP,0,15,0,9,0,0,11,0,22,0,23,7,0,0,0,15,0,9,0,0,11,0,22.0,0,23.0,7,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.405,0.0,0.0,0.0,False,False,False,True,False,False,True
Jones,GF-GREENFIELD,0,2,0,5,0,0,7,0,5,0,0,0,0,0,0,0,0,5,0,0,9,0,5.0,0,0.0,0,0,0,0,0.0,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jones,MN3-MONTICELLO 3,0,6,0,6,0,0,6,0,13,0,4,0,0,0,0,6,0,9,0,0,6,0,14.0,0,0.0,0,0,0,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jones,MN4-MONTICELLO 4,0,12,0,8,0,0,6,0,7,0,0,3,0,0,0,12,0,10,0,0,7,0,7.0,0,0.0,0,0,0,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jones,ROHA-ROME/HALE,0,6,0,10,0,0,0,0,8,0,0,0,0,0,0,6,0,10,0,0,0,0,8.0,0,0.0,0,0,0,0,0.16,0.0,0.32,0,0.0,0.0,0,0.32,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Jones,SGMC-SC GRV/MADISON/CLAY,0,4,0,6,0,0,7,0,9,0,2,0,0,0,0,5,0,6,0,0,7,0,10.0,0,0.0,0,0,0,0,0.16,0.0,0.16,0,0.0,0.16,0,0.16,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Keokuk,East/West Lancaster,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0.0,2,0.0,1,0,0,0,0.0,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Keokuk,Richland,0,6,0,6,0,0,0,0,2,0,2,0,0,0,0,6,0,6,0,0,0,0,2.0,0,2.0,0,0,0,0,0.1143,0.0,0.1143,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Keokuk,Sigourney 3rd Ward,0,0,0,5,0,0,5,0,1,0,0,2,0,0,0,0,0,6,0,0,7,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1143,0,0.0,0.1143,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Keokuk,Sigourney 4th Ward,0,4,3,6,0,0,7,0,3,0,0,0,0,0,0,0,0,10,0,0,13,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1143,0,0.0,0.1143,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Kossuth,CR 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,True
Kossuth,CR 2,0,6,0,5,0,0,2,0,0,0,2,0,0,0,0,6,0,5,0,0,4,0,0.0,0,0.0,0,0,0,0,0.0889,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Kossuth,GW- SN,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0889,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,False,True
Kossuth,IV- PC,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Kossuth,LC,0,2,0,3,0,0,0,0,2,0,0,0,0,1,0,2,0,3,0,0,0,0,2.0,0,0.0,0,0,1,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Kossuth,PC,0,1,0,4,0,0,3,0,0,2,1,0,0,0,0,1,0,4,0,0,3,0,0.0,2,1.0,0,0,0,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Kossuth,UN,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0,0.0889,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Boulder,0,12,0,0,0,0,0,0,0,0,9,0,0,1,0,12,0,0,0,0,0,0,0.0,0,9.0,0,0,1,0,0.4395,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Brown,1,18,0,18,0,0,20,0,19,3,11,0,0,0,1,0,0,22,0,0,26,0,22.0,0,0.0,0,0,0,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Buffalo,0,11,0,1,0,0,0,0,0,0,9,1,0,0,0,11,0,1,0,0,0,0,0.0,0,9.0,1,0,0,0,0.4395,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 01,0,43,1,47,0,2,13,0,59,0,29,8,0,0,0,49,0,57,0,0,0,0,60.0,0,36.0,0,0,0,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 02,0,38,0,22,0,1,4,0,50,4,34,8,0,1,0,39,0,29,0,0,0,0,52.0,0,41.0,0,0,1,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 04,0,40,0,33,0,0,41,0,50,0,43,11,0,0,0,42,0,40,0,0,42,0,50.0,0,44.0,0,0,0,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 06,0,29,0,53,0,0,36,0,49,1,42,19,0,0,0,0,0,65,0,0,55,0,60.0,0,47.0,0,0,0,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 07,1,28,0,37,0,1,8,0,42,0,39,4,0,0,0,29,0,41,0,0,0,0,48.0,0,39.0,0,0,0,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 08,0,20,0,16,0,1,4,0,45,7,25,10,0,0,0,27,0,21,0,0,0,0,46.0,0,28.0,0,6,0,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 09,0,15,0,21,0,1,11,0,59,3,30,14,0,0,0,0,0,49,0,0,0,0,64.0,0,32.0,0,0,9,0,0.0,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 13,0,15,0,43,0,0,20,0,92,2,53,11,0,2,0,13,0,58,0,0,0,0,99.0,0,65.0,1,0,2,0,0.0,0.0,0.4395,0,0.0,0.0,0,1.3186,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 15,1,42,0,38,0,1,37,0,65,0,50,5,1,1,0,43,0,38,0,0,38,0,67.0,0,54.0,0,0,0,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 18,0,12,0,20,0,0,23,0,36,2,30,9,0,0,0,0,0,20,0,0,23,0,36.0,0,30.0,0,0,0,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 20,0,47,0,47,0,0,19,0,54,4,44,5,0,0,0,54,0,55,0,0,0,0,58.0,0,51.0,0,0,0,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 28,0,40,0,29,0,0,0,0,49,0,24,11,0,0,0,41,0,43,0,0,0,0,53.0,0,31.0,0,0,0,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 29,0,30,0,30,0,0,22,0,45,1,33,4,0,0,0,34,0,41,0,0,0,0,47.0,0,39.0,0,0,0,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 30,0,40,0,35,0,0,25,0,51,6,41,6,0,0,0,50,0,45,0,0,0,0,52.0,0,51.0,0,0,6,0,0.8791,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 31,0,50,0,74,0,1,38,0,52,3,53,5,0,5,0,62,0,88,0,0,0,0,67.0,0,65.0,0,0,0,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 32,0,23,0,24,0,0,6,0,44,0,19,5,0,2,0,23,0,35,0,0,0,0,44.0,0,19.0,0,0,2,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 33,0,19,0,14,0,2,10,0,61,0,33,6,0,2,0,0,0,27,0,0,0,0,67.0,0,43.0,0,0,0,0,0.0,0.0,0.4395,0,0.0,0.0,0,1.3186,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 35,0,16,0,35,0,0,22,0,67,2,31,10,2,0,0,0,0,45,0,0,30,0,71.0,0,37.0,0,0,0,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 36,0,47,0,46,0,1,35,0,89,9,65,13,0,1,0,61,0,59,0,0,0,0,89.0,0,80.0,0,0,0,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 37,1,33,0,29,0,0,23,0,55,0,37,6,1,1,0,42,0,38,0,0,0,0,60.0,0,40.0,0,0,0,0,0.8791,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 39,0,40,0,44,0,0,20,0,44,2,31,5,1,4,0,47,0,55,0,0,0,0,44.0,0,37.0,0,0,8,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.8791,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 41,0,38,0,56,0,0,4,0,54,0,32,10,0,8,0,45,0,63,0,0,0,0,56.0,0,37.0,0,0,0,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 42,0,8,0,63,0,0,5,0,45,0,34,17,0,3,0,0,0,75,0,0,0,0,51.0,0,41.0,0,0,0,0,0.0,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Cedar Rapids 43,0,23,0,18,0,2,5,0,51,0,15,11,0,0,0,26,0,23,0,0,0,0,55.0,0,20.0,0,0,0,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,College,0,9,0,13,0,3,7,0,4,2,7,1,0,0,0,0,0,24,0,0,22,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Fairfax City,0,12,0,33,0,0,24,0,27,0,24,5,0,0,0,0,0,37,0,0,29,0,29.0,0,24.0,0,6,0,0,0.0,0.0,0.8791,0,0.0,0.4395,0,0.4395,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Fairfax Township,0,17,3,26,0,0,13,0,9,3,2,2,0,0,0,21,0,28,0,0,23,0,0.0,0,0.0,0,0,0,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Fayette,0,6,0,14,0,0,8,0,11,0,13,2,0,0,0,0,0,24,0,0,0,0,0.0,0,19.0,0,0,0,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,False,False,False,True,False,False,True
Linn,Grant,0,14,0,2,0,0,7,0,3,1,5,2,0,0,0,15,0,0,0,0,14,0,0.0,0,0.0,0,0,0,0,0.4395,0.0,0.0,0,0.0,0.4395,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
